hp.si,REGISTERED
hq.si,REGISTERED
hr.si,REGISTERED
hs.si,REGISTERED
ht.si,REGISTERED
hu.si,REGISTERED
hv.si,REGISTERED
hw.si,REGISTERED
hx.si,REGISTERED
hy.si,REGISTERED
hz.si,REGISTERED
ia.si,REGISTERED
ib.si,REGISTERED
ic.si,REGISTERED
id.si,REGISTERED
ie.si,REGISTERED
if.si,REGISTERED
ig.si,LIKELY_FREE
ih.si,REGISTERED
ii.si,LIKELY_FREE
ij.si,REGISTERED
ik.si,REGISTERED
il.si,REGISTERED
im.si,REGISTERED
in.si,REGISTERED
io.si,REGISTERED
ip.si,REGISTERED
iq.si,REGISTERED
ir.si,REGISTERED
is.si,REGISTERED
it.si,REGISTERED
iu.si,REGISTERED
iv.si,REGISTERED
iw.si,REGISTERED
ix.si,REGISTERED
iy.si,REGISTERED
iz.si,UNKNOWN
ja.si,LIKELY_FREE
jb.si,REGISTERED
jc.si,REGISTERED
jd.si,REGISTERED
je.si,REGISTERED
jf.si,REGISTERED
jg.si,REGISTERED
jh.si,REGISTERED
ji.si,REGISTERED
jj.si,REGISTERED
jk.si,REGISTERED
jl.si,REGISTERED
jm.si,REGISTERED
jn.si,LIKELY_FREE
jo.si,REGISTERED
jp.si,UNKNOWN
jq.si,REGISTERED
jr.si,LIKELY_FREE
js.si,REGISTERED
jt.si,REGISTERED
ju.si,REGISTERED
jv.si,REGISTERED
jw.si,REGISTERED
jx.si,REGISTERED
jy.si,REGISTERED
jz.si,LIKELY_FREE
ka.si,REGISTERED
kb.si,REGISTERED
kc.si,REGISTERED
kd.si,UNKNOWN
ke.si,REGISTERED
kf.si,REGISTERED
kg.si,LIKELY_FREE
kh.si,REGISTERED
ki.si,REGISTERED
kj.si,LIKELY_FREE
kk.si,REGISTERED
kl.si,LIKELY_FREE
km.si,LIKELY_FREE
kn.si,REGISTERED
ko.si,REGISTERED
kp.si,REGISTERED
kq.si,REGISTERED
kr.si,REGISTERED
ks.si,REGISTERED
kt.si,LIKELY_FREE
ku.si,REGISTERED
kv.si,REGISTERED
kw.si,REGISTERED
kx.si,REGISTERED
ky.si,REGISTERED
kz.si,LIKELY_FREE
la.si,REGISTERED
lb.si,REGISTERED
lc.si,LIKELY_FREE
ld.si,REGISTERED
le.si,REGISTERED
lf.si,REGISTERED
lg.si,REGISTERED
lh.si,REGISTERED
li.si,REGISTERED
lj.si,REGISTERED
lk.si,REGISTERED
ll.si,REGISTERED
lm.si,REGISTERED
ln.si,REGISTERED
lo.si,REGISTERED
lp.si,REGISTERED
lq.si,REGISTERED
lr.si,LIKELY_FREE
ls.si,REGISTERED
lt.si,REGISTERED
lu.si,REGISTERED
lv.si,REGISTERED
lw.si,REGISTERED
lx.si,REGISTERED
ly.si,REGISTERED
lz.si,REGISTERED
ma.si,UNKNOWN
mb.si,UNKNOWN
mc.si,REGISTERED
md.si,REGISTERED
me.si,REGISTERED
mf.si,UNKNOWN
mg.si,REGISTERED
mh.si,REGISTERED
mi.si,REGISTERED
mj.si,REGISTERED
mk.si,REGISTERED
ml.si,REGISTERED
mm.si,REGISTERED
mn.si,REGISTERED
mo.si,REGISTERED
mp.si,REGISTERED
mq.si,REGISTERED
mr.si,REGISTERED
ms.si,LIKELY_FREE
mt.si,REGISTERED
mu.si,REGISTERED
mv.si,UNKNOWN
mw.si,REGISTERED
mx.si,REGISTERED
my.si,REGISTERED
mz.si,REGISTERED
na.si,LIKELY_FREE
nb.si,REGISTERED
nc.si,REGISTERED
nd.si,REGISTERED
ne.si,LIKELY_FREE
nf.si,REGISTERED
ng.si,REGISTERED
nh.si,REGISTERED
ni.si,LIKELY_FREE
nj.si,REGISTERED
nk.si,REGISTERED
nl.si,REGISTERED
nm.si,REGISTERED
nn.si,REGISTERED
no.si,REGISTERED
np.si,LIKELY_FREE
nq.si,LIKELY_FREE
nr.si,REGISTERED
ns.si,REGISTERED
nt.si,REGISTERED
nu.si,REGISTERED
nv.si,UNKNOWN
nw.si,REGISTERED
nx.si,REGISTERED
ny.si,REGISTERED
nz.si,REGISTERED
oa.si,REGISTERED
ob.si,REGISTERED
oc.si,REGISTERED
od.si,REGISTERED
oe.si,REGISTERED
of.si,REGISTERED
og.si,REGISTERED
oh.si,REGISTERED
oi.si,REGISTERED
oj.si,REGISTERED
ok.si,UNKNOWN
ol.si,REGISTERED
om.si,REGISTERED
on.si,REGISTERED
oo.si,REGISTERED
op.si,REGISTERED
oq.si,REGISTERED
or.si,UNKNOWN
os.si,REGISTERED
ot.si,REGISTERED
ou.si,REGISTERED
ov.si,REGISTERED
ow.si,REGISTERED
ox.si,REGISTERED
oy.si,REGISTERED
oz.si,REGISTERED
